       300.63559       300.39407       300.22267       300.23650       300.26439
       300.31457       300.46541       301.29359       302.32733       302.86016
       303.43134       304.01781       306.00286       306.92823       307.69076
       308.44235       309.23438       311.11401       312.19613       313.16384
       314.12934       315.11955       316.31125       317.18171       318.27810
       321.49574       322.77716       324.02771       324.96719       326.02562
       326.93434       328.05395       328.87043       329.72082       330.62571
       331.80788       332.94514       334.33235       335.92135       337.22268
       338.90807       341.21004       344.12291       347.93796       352.72323
       360.91207       369.26135       374.67762       386.51462       404.42813
       423.52798       444.64648       479.64645       514.64630       549.64630
       584.64630       619.64630       654.64630       689.64630       724.64630
       759.64630       794.64630       829.64630
