       3.0042403       3.0044099       3.0039855       3.0042290       3.0043543
       3.0050083       3.0046887       3.0050209       3.0050819       3.0050087
       3.0051430       3.0056223       3.0057661       3.0059913       3.0058878
       3.0054454       3.0054576       3.0058406       3.0058769       3.0060786
       3.0064521       3.0059932       3.0061209       3.0066435       3.0071682
       3.0077127       3.0079860       3.0079964       3.0083241       3.0078650
       3.0076735       3.0078318       3.0074900       3.0080608       3.0079995
       3.0080990       3.0083577       3.0084201       3.0084520       3.0088390
       3.0087663       3.0090247       3.0096782       3.0099447       3.0099637
       3.0104767       3.0105212       3.0105458       3.0109697       3.0109074
       3.0111761       3.0113328       3.0119852       3.0123549       3.0123738
       3.0129168       3.0135712       3.0132991       3.0130671       3.0131368
       3.0131614       3.0133353       3.0130872       3.0125656       3.0130611
       3.0125741       3.0131470       3.0133598       3.0137055       3.0138651
       3.0133669       3.0135420       3.0135384       3.0138365       3.0137796
       3.0135809       3.0140378       3.0132694       3.0137155       3.0143556
       3.0142831       3.0140154       3.0141196       3.0153560       3.0155456
       3.0158665       3.0164142       3.0166109       3.0166254       3.0165555
       3.0162873       3.0164260       3.0161103       3.0165358       3.0168839
       3.0161311       3.0161757       3.0163082       3.0169666       3.0173661
       3.0175954       3.0176374       3.0173855       3.0179147       3.0173375
       3.0171204       3.0165702       3.0167560       3.0164889       3.0171302
       3.0167122       3.0172862       3.0177749       3.0175883       3.0180808
       3.0183604       3.0177939       3.0176321       3.0170694       3.0175026
       3.0173333       3.0168742       3.0169154       3.0167347       3.0170335
       3.0173851       3.0177083       3.0179900       3.0177982       3.0180049
       3.0181426       3.0175228       3.0174887       3.0171630       3.0167850
       3.0170324       3.0168095       3.0169350       3.0172337       3.0173371
       3.0174358       3.0169772       3.0171797       3.0173143       3.0172039
       3.0171088       3.0165190       3.0170578       3.0161667       3.0160334
       3.0158157       3.0157134       3.0159978       3.0160129       3.0155907
       3.0151440       3.0151981       3.0154038       3.0144862       3.0150059
       3.0154064       3.0150257       3.0143723       3.0141885       3.0143403
       3.0147032       3.0146496       3.0148241       3.0140775       3.0135946
       3.0140617       3.0133580       3.0133746       3.0132456       3.0134152
       3.0135248       3.0131887       3.0130585       3.0131657       3.0129187
       3.0126139       3.0123084       3.0119453       3.0123398       3.0123128
       3.0119740       3.0117370       3.0116353       3.0117290       3.0122199
       3.0112990       3.0117324       3.0117905       3.0117697       3.0110823
       3.0101572       3.0093586       3.0087986       3.0089027       3.0086322
       3.0081631       3.0083066       3.0078661       3.0083402       3.0080521
       3.0082920       3.0079730       3.0085561       3.0080479       3.0074845
       3.0072644       3.0070882       3.0066336       3.0065851       3.0062071
       3.0062148       3.0065405       3.0066579       3.0064281       3.0063597
       3.0067857       3.0062721       3.0052446       3.0053402       3.0048240
       3.0046448       3.0044193       3.0041446       3.0035616       3.0030925
       3.0027068       3.0025007       3.0021124       3.0021732       3.0018293
       3.0022299       3.0019789       3.0011607       3.0011923       3.0013416
       3.0017985       3.0014533       3.0010180       3.0006841       3.0007020
       3.0009549       3.0010830       3.0011501       3.0012653       3.0016489
       3.0016712       3.0022924       3.0018193       3.0020069       3.0016270
       3.0018765       3.0015953       3.0011920       3.0012516       3.0012732
       3.0015201       3.0011438       3.0013130       3.0019727       3.0016384
       3.0015704       3.0018028       3.0020972       3.0015412       3.0015908
       3.0012742       3.0016299       3.0012445       3.0009894       3.0015209
       3.0013281       3.0015255       3.0016914       3.0020543       3.0024252
       3.0028059       3.0025974       3.0028685       3.0028205       3.0028623
       3.0031023       3.0029435       3.0032089       3.0031933       3.0027270
       3.0028577       3.0033446       3.0028822       3.0037671       3.0036135
       3.0037483       3.0037231       3.0035703       3.0036408       3.0038842
       3.0040124       3.0038971       3.0040890       3.0036938       3.0039308
       3.0040779       3.0042695       3.0044939       3.0050020       3.0045347
       3.0044750       3.0047992       3.0052354       3.0057254       3.0059615
       3.0054152       3.0054350       3.0047489       3.0046584       3.0044853
       3.0042438       3.0045670       3.0049138       3.0046036       3.0052460
       3.0051325       3.0051495       3.0055296       3.0056963       3.0056367
       3.0061753       3.0063038       3.0062666       3.0065508       3.0061881
       3.0064728       3.0065902       3.0064911       3.0067254       3.0066828
       3.0071330       3.0072776       3.0076542       3.0078926       3.0085256
       3.0082161       3.0078572       3.0078578       3.0076726       3.0081773
       3.0076189       3.0071648       3.0076408       3.0073672       3.0078918
       3.0080221       3.0081309       3.0086095       3.0079902       3.0082041
       3.0075311       3.0077491       3.0073666       3.0072466       3.0074040
       3.0068331       3.0074451       3.0082402       3.0078625       3.0076772
       3.0080657       3.0091243       3.0088429       3.0089990       3.0091393
       3.0090905       3.0088668       3.0087110       3.0083033       3.0084708
       3.0081249       3.0080133       3.0086034       3.0079196       3.0081420
       3.0076977       3.0080388       3.0086486       3.0087578       3.0088176
       3.0078044       3.0081825       3.0072883       3.0069644       3.0064210
       3.0065248       3.0060805       3.0064727       3.0060829       3.0063470
       3.0066934       3.0064403       3.0070491       3.0069349       3.0065734
       3.0063898       3.0058173       3.0059415       3.0060366       3.0053432
       3.0054669       3.0049849       3.0050192       3.0049537       3.0050544
       3.0055508       3.0051865       3.0055549       3.0054403       3.0050163
       3.0051241       3.0048684       3.0044162       3.0045057       3.0043435
       3.0042040       3.0043853       3.0041999       3.0039233       3.0036413
       3.0035502       3.0039575       3.0038221       3.0038808       3.0030375
       3.0033531       3.0026134       3.0022383       3.0015654       3.0016171
       3.0012799       3.0009457       3.0005548       2.9999823       3.0001917
       2.9999621       2.9994660       2.9997974       3.0004247       3.0000695
