       304.61078       304.36797       304.19994       304.22225       304.26304
       304.33803       304.84522       306.20121       306.89650       307.42955
       308.92980       309.62686       310.22188       310.94924       313.05410
       314.25935       315.34911       316.57482       317.55616       319.81904
       321.30110       322.71489       324.41173       325.69255       326.92900
       328.17210       329.42087       332.12806       335.04934       336.47044
       337.73227       339.25057       340.65262       341.85797       343.07314
       344.49897       345.70573       347.28668       349.06850       350.48955
       352.63588       355.47926       359.01166       363.39622       368.66488
       374.32255       379.48042       382.80180       386.51462       404.42813
       423.52798       444.64648       479.64645       514.64630       549.64630
       584.64630       619.64630       654.64630       689.64630       724.64630
       759.64630       794.64630       829.64630
